Acc. Filename,Er-v-2p-1,Er-v-2p-2,Er_max,PGV,PEAK_PULSE,Tp,Number of pulses
RSN1497_CHICHI_TCU057-N.AT2,4.737457e-01,2.094061e-01,4.737457e-01,6.831518e-01,4.931128e+01,4.689784e+01,7.745000e+00,1
RSN1497_CHICHI_TCU057-V.AT2,4.373872e-01,1.383224e-01,4.373872e-01,5.757096e-01,3.388642e+01,3.188353e+01,4.795000e+00,1
RSN1498_CHICHI_TCU059-E.AT2,4.965487e-01,5.653161e-02,4.965487e-01,5.530803e-01,5.138236e+01,4.626991e+01,6.465000e+00,1
RSN1498_CHICHI_TCU059-N.AT2,3.566169e-01,2.553904e-01,3.566169e-01,6.120073e-01,5.351686e+01,5.101345e+01,6.125000e+00,1
RSN1499_CHICHI_TCU060-E.AT2,5.402781e-01,9.510736e-02,5.402781e-01,6.353854e-01,3.341383e+01,2.445873e+01,1.226500e+01,1
RSN1499_CHICHI_TCU060-N.AT2,4.460305e-01,3.530430e-01,4.460305e-01,7.990735e-01,4.397204e+01,4.038329e+01,7.555000e+00,2
RSN149_COYOTELK_G04360.AT2,5.053987e-01,4.493221e-02,5.053987e-01,5.503309e-01,3.185775e+01,2.888597e+01,1.195000e+00,1
RSN1500_CHICHI_TCU061-E.AT2,3.229173e-01,9.874471e-02,3.229173e-01,4.216620e-01,4.084488e+01,3.605742e+01,4.775000e+00,1
RSN1500_CHICHI_TCU061-N.AT2,2.183750e-01,1.598934e-01,2.183750e-01,3.782684e-01,3.804043e+01,0,3.985000e+00,0
RSN1501_CHICHI_TCU063-E.AT2,3.195861e-01,1.660848e-01,3.195861e-01,4.856709e-01,4.398311e+01,0,5.905000e+00,0
RSN1501_CHICHI_TCU063-N.AT2,5.380317e-01,7.923288e-02,5.380317e-01,6.172646e-01,8.283175e+01,8.040968e+01,4.710000e+00,1
RSN1501_CHICHI_TCU063-V.AT2,4.794118e-01,7.526463e-02,4.794118e-01,5.546765e-01,5.699009e+01,5.698258e+01,4.410000e+00,1
RSN1502_CHICHI_TCU064-E.AT2,4.356406e-01,1.808426e-01,4.356406e-01,6.164832e-01,4.271461e+01,4.057436e+01,6.855000e+00,1
RSN1502_CHICHI_TCU064-N.AT2,4.667662e-01,3.314503e-01,4.667662e-01,7.982165e-01,5.531273e+01,5.263188e+01,6.785000e+00,2
RSN1502_CHICHI_TCU064-V.AT2,2.441059e-01,2.557592e-01,2.557592e-01,4.998651e-01,3.217199e+01,0,5.820000e+00,0
RSN1503_CHICHI_TCU065-E.AT2,4.550662e-01,1.453212e-01,4.550662e-01,6.003874e-01,1.253504e+02,1.036640e+02,4.900000e+00,1
RSN1503_CHICHI_TCU065-N.AT2,2.010415e-01,7.716618e-02,2.010415e-01,2.782077e-01,9.212855e+01,0,6.235000e+00,0
RSN1503_CHICHI_TCU065-V.AT2,5.532317e-01,1.475747e-01,5.532317e-01,7.008064e-01,6.941348e+01,6.788227e+01,4.190000e+00,1
RSN1504_CHICHI_TCU067-E.AT2,4.071222e-01,4.451012e-02,4.071222e-01,4.516324e-01,9.206841e+01,8.913724e+01,2.300000e+00,1
RSN1504_CHICHI_TCU067-N.AT2,1.842002e-01,2.006414e-01,2.006414e-01,3.848416e-01,5.130207e+01,0,2.460000e+00,0
RSN1504_CHICHI_TCU067-V.AT2,4.350760e-01,1.854878e-01,4.350760e-01,6.205638e-01,4.982863e+01,3.663362e+01,4.585000e+00,1
RSN1505_CHICHI_TCU068-E.AT2,8.265458e-01,1.904866e-02,8.265458e-01,8.455945e-01,2.495962e+02,2.042404e+02,1.032500e+01,1
